,content,label
0,"Golden Gay: hombres que nunca se han acostado con una mujer
Lesbiana con pedigree: mujeres que nunca se han acostado con un hombre
TrueStory",NP
1,#CuandoMiMamaDice Quien es ese gay que este al aire contigo @ChenchoRios,NP
2,"@RobinHil ¡Felicidades! Ganaste un pase doble para Rupaul's Drag Race en #SomosIgualesFM, envía nombre completo y mail por DM.",NP
3,"@GArnauda @LarraldeDario Ricardo del Real (hombre trans, de paso. Gran proponente de la diversidad) es parte del comité olímpico, me dice que no da no topa con el Dario.

Lleva preguntando un rato por allá de hecho.",NP
4,"Los conceptos no pueden ser transgénero porque:
Saber debatir &gt; saber hacer drama.
Es correcto para unos y barbarie para otras",NP
5,"@cicconered88 si el premio hace que la gente hable de lo Trans. BELLÍSIMO

/ @Caitlyn_Jenner @glamourmag",NP
6,"prince
David Bowie
JUAN GABRIEL
y ahora #peteBurns
VIRGEN MACAREna pATROna DE LOS JOTOS
CUÍDAME A MI  @cher",NP
7,"Nuevo Leóm defiende a muerte la vida de una madre y del producto de su embarazo, pero la vida de un gay, de una lesbiana, de una persona trans vale menos por el simple hecho de serlo. Si estan bien malitos los diputados regios. url",NP
8,@warkentin ¿sabes si hay material gráfico de la investigación sobre mujeres trans en la migración?,NP
9,"@Mtz_Mario184 No porque eres weris, puto Jajajaja",NP
10,Quiero Una Novia puta,NR
11,Puta url chinguen a su madre putos Nazis!,NR
12,""" Cuando un hombre no se aprovecha de una mujer la mayoría lo llaman ""joto, gay"", dando así por sentado que todos los heterosexuales son violadores. pero después se enojan cuando nosotras los llamamos ""potenciales violadores"". Que cosas 🤔""",NP
13,"@grafofilia Digo, yo soy de las mujeres transgénero con más followers en Twitter.. y las otras son movie celebs, activistas de rango mundial, hay una kardashian.",NP
14,Que se celebra cuando eres joto pero te corrieron de la comunidad gai unas jotillas pintadas? 🤣,NP
15,"JAJAJAJA MARICA YOOO VIENDO VIDEOS DE pERRITOS, DE REENCUENTROS, DE AMOR, DESAMOR, ETC. url",NP
16,"Mancera o lo que es lo mismo Don pendejo,de risa loca el pretender defender en la ONU el mamotreto llamado Constitución de CDMX.",NR
17,"Teaser póster de la película #ElBailedelos41, con @ponchohd y dirigida por #Davidpablos, sobre la redada policial en el gobierno de porfirio Díaz contra un baile de hombres homosexuales el 18 de noviembre de 1901 y que la prensa vendio como el baile de los 41 maricones. url",NP
18,creo que existe gente ultra enferma y url,NR
19,"“@Leon_Giovanny: @diegodeoficial pregunta super directa y abierta ... Eres GAY ??”/ Respuesta igual de directa,  No.",NP
20,@FMF Hei huevones! Investiguen a la @AMArbitros a @kiqsantander porque 3 juegos al mismo equipo? Usen tecnología y dejen su puta mafia fuera valv,NR
21,"@SlytherinsDoItB @Fhersh18 todaas somos lesss la Laurin es te gay y Camila también, sexo sin penes",NP
22,"Cada 8 de noviembre se celebra el Día de la #SolidaridadIntersexual, con el propósito de sensibilizar y concienciar acerca de los derechos humanos de las personas intersexuales, así como promover el respeto y la solidaridad. url",NP
23,@MATIASMATILDA Mati.. ¡Ven a México! Anda. Aquí hay tremenda fiesta Trans. @Do1erroberto corrobora. Acaba de llegar.,NP
24,Bueno sólo espero que este homosexual no me corte demasiado el cabello (@ Enrique Bricker) url,NP
25,"Plebes, si soy lencha me van a seguir queriendo?, porque me acabo de enamorar de alguien.",NP
26,Mi compañerita @poiremariana  ... Está re url ¡pero es adorable! url,NP
