lyrics,label
"[Verso 1]
No sé si tu boca está besando a otra
En estos momentos, en estos momentos
Y no sé si tus ojos ya se olvidaron de mí
Y los pensamientos se fueron con el tiempo
[Coro]
Y me pregunto qué hubiera pasado
Si estuviésemos juntos, aún enamorados
Y me pregunto qué hubiera pasado
Si estuviésemos juntos, aún enamorados
[Verso 2]
Todavía yo te espero
Aunque yo sé que tú no vas a volver
Todavía yo te quiero
Aunque yo sé que eso me puede joder
Y tengo tu foto guardá'
Tú y yo bailando cuando éramos menores de edad
Te digo la verdad
Te extraño el 14 y en la Navidad
Y los polvos en la parte posterior
Del carro pa' los tiempos en la superior
Siempre deja ropa interior
Cada polvo mejor que el anterior
Pero no como el primero
Tú sabes que ese no se va a borrar
Ahora me paso en el putero
A otra persona no he podido amar
Y te juro que lo he trata'o
Pero es que ninguna se te para al la'o
Desde que te fuiste sigo trastorna'o
Escuchando la de ""Sorry"" yo me siento down
Si no tengo tu piel, down
""Escondidos"" de Adictiva y ""Noche"" [?]
El cerebro dando vuelta', lo tengo marea'o
Cada cual por su la'o, yeh
[Coro]
Y me pregunto qué hubiera pasado
Si estuviésemos juntos, aún enamorados
Y me pregunto qué hubiera pasado
Si estuviésemos juntos, aún enamorado', oh-oh
[Outro]
Si estuviésemos junto, oh-oh-, oh-os",NP
"El tiempo se ha pasado
Y yo no sé nada de ti
El mundo vuelta y vuelta
Y yo Aquí deseándote a ti
Y mira como estoy con esta soledad
Me mata el amor no existe
En mí no, no la gente Indiferente
Y yo aquí Deseándote a ti, a ti
Quiero que se escuche el amor
En esta canción
Y quiero que se escuche
Más allá de mi habitación
Y mira como estoy con esta soledad
Me mata el amor no existe en mí no
No la gente Indiferente
Y yo aquí deseándote a ti, a ti
[Coro]
Donde estarás niña mía
Yo no te pude encontrar
Mil montañas subiría para verte
Donde estarás niña mía
Soñaría con tener
Aunque sea un día
Un solo día para
Verte a ti, a ti
""Y esto es la electro-cumbia con
Raymix""
[Verso 2]
Quiero que se escuche el amor
En esta canción
Y quiero que se escuche
Más allá de mi habitación
Y mira como estoy con esta soledad
Me mata el amor no existe en mí no
No la gente Indiferente
Y yo aquí deseándote a ti, a ti
[Coro]
Donde estarás niña mía
Yo no te pude encontrar
Mil montañas subiría para verte
Donde estarás niña mía
Soñaría con tener
Aunque sea un día
Un solo día para
Verte a ti, a ti",NP
"Me haces sentir que quiera ser mejor.
Me haces reír cuando me despierto
Y ya llegó el momento de aprender
De nuevo a confiar.
Me has de enseñar, me has de enseñar
Me has de enseñar, me has de enseñar.
Vuelve el amor a correr ya por mis venas
Vuelve el amor a romper las cadenas
Y ya llena de calor a un pobre corazón.
Me has de enseñar, me has de enseñar,
Me has de enseñar, me has de enseñar.
Triste es vivir con un caparazón
Para evitar que nadie mas se hiera
Y vas quitando tiempo al tiempo
Para apreciar todo lo demás
Y a los demás, y a los demás
Y a los demás, y a los demás.
Vuelve el amor a correr ya por mis venas
Vuelve el amor a romper las cadenas
Y ya llena de calor a un pobre corazón.
Hoy más que nunca te necesito
Tanto como un niño.
Hoy dejaré el alma abierta
Que entre brisa fresca.
Y ya vuelve el amor
A un pobre corazón
Me has de enseñar, me has de enseñar,
Me has de enseñar, me has de enseñar
Vuelve el amor a correr ya por mis venas
Vuelve el amor a romper las cadenas
Y ya llena de calor a un pobre corazón.
Hoy más que nunca te necesito
Tanto como un niño.
Hoy dejaré el alma abierta
Que entre brisa fresca.
Y ya vuelve el amor
A un pobre corazón
Me has de enseñar, me has de enseñar,
Me has de enseñar, me has de enseñar",NP
"[Introducción]
Wu! Ja, ja, wu
[Verso]
Ya no te haré llorar, ya no te haré sufrir
Prometo seriamente no volver a molestarte
Ni andar tocando tu ventana para hablarte
Duerme tranquila ya no vuelvo a molestarte
[Puente]
Tú se feliz con quien tú quieras, mientras tanto
Yo voy tratando poco a poco de olvidarte
[Pre-Estribillo]
Fueron tan hermosas
Todas esas noches, todos esos días
Que sinceramente
Fue lo más hermoso de toda mi vida
[Estribillo]
Qué lástima que nuestro amor haya acabado
Y que feliz me sentiré cuando te vea
Que eres feliz con otro amor y que te quiera
Pues tú mereces ser feliz con quien tú quieras
[Interludio]
¡Y arriba Juárez!
¡Arriba!
[Pre-Estribillo]
Fueron tan hermosas
Todas esas noches, todos esos días
Que sinceramente
Fue lo más hermoso de toda mi vida
[Estribillo]
Qué lástima que nuestro amor haya acabado
Y que feliz me sentiré cuando te vea
Que eres feliz con otro amor y que te quiera
Pues tú mereces todo y yo
[Verso]
Ya no te haré llorar, ya no te haré sufrir
Prometo seriamente no volver a molestarte
Ni andar tocando tu ventana para hablarte
Duerme tranquila ya no vuelvo a molestarte",NP
"Yo me pregunto porque sera
Nos gusta sufrir
Nos gusta llorar
Complicamos las cosas hasta el mas alla
No entiendo que nos pasa hasta al mal
[Coro]
Me siento yo
Yo quiero estar con ella
A ella le gusta el tonto
Y el se  a fijado en aquella chica que
Me busca a mi
Me quiere a mi
Muere a mi
No me interesa su amor
Me busca a mi
Me quiere a mi
Muere a mi
No me interesa su amor, oh no
[Verso 2]
Y esque no entiendo porque
Pues estamos contendo y amamos a que no nos quieren (nos quieren)
Y dejeamos a un lado que se ineteresan, por que no ser las cosas
Facil es, te amo (me amas)
Tan simple como eso
Y no estamos batallando con tantas cosas
Y rompemos
Y rompemos esto tonto circulo visioco de amor
[Coro]
Yo
Yo quiero estar con ella
A ella le gusta el tonto
Y el se  a fijado en aquella chica que
Me busca a mi
Me quiere a mi
Muere a mi
No me interesa su amor
Me busca a mi
Me quiere a mi
Muere a mi
No me interesa su amor, oh no
[Puente]
Latin Stylish music
Ujuu!",NP
"Sin ti yo no puedo estar
Tú eres todo para mí
Mi gran amor eres tú
Nunca quise a nadie más
Tú eres mi felicidad
Mi gran amor sólo eres tú
Y te lo voy a demostrar
De qué manera sólo di
Dispuesto yo estoy
Lo que quieras has
Lo que quieras has tú de mí
Yo te quiero mucho
Yo te quiero tanto
Todo cuanto quieras
Cuanto quieras has de mí
Yo te quiero mucho
Yo te quiero tanto
Todo cuanto quieras
Cuanto quieras has de mí
Mi gran amor sólo eres tú
Y te lo voy a demostrar
De qué manera sólo di
Dispuesto yo estoy
Lo que quieras has
Lo que quieras has tú de mí
Yo te quiero mucho
Yo te quiero tanto
Todo cuanto quieras
Cuanto quieras has de mí
Yo te quiero mucho
Yo te quiero tanto
Todo cuanto quieras
Cuanto quieras has de mí
Yo te quiero mucho
Yo te quiero tanto
Tanto yo te quiero
Yo te quiero mucho
Yo te quiero tanto",NP
"[Intro]
Hey! Hey!
Hey! Hey!
Hey! Hey!
A-A-Are you ready, baby?
[Pre-Coro]
Sacaste lo mejor de la ropita, ja (Yeah)
Te gusta cuando to' el mundo te mira, ja (Yeah)
El bajo de la música te excita, ja (Yeah)
Por ahí viene, por ahí viene, viene
[Coro]
¡Sube, sube! (Woh), pa' que rompa' el compás
Boom! Róbate el show, ma'
¡Sube, sube!, pa' que rompa' el compás
Métele torbellino, mami, métele torbellino
¡Sube! (Bow), pa' que rompa' el compás
Boom! Róbate el show, ma'
¡Sube, sube!, pa' que rompa' el compás (Wuh-uh)
[Verso 1]
(Daddy, hey)
Le llaman la escandalosa, en verdad que es otra cosa
Todos los tipos de música se los goza (Yeah)
Pero el reggaetón es lo que destroza (Oh)
Con una cadera super poderosa
Tiene su toque 'e vanidosa
Pero como quiera hay que mirar cuando ella posa
La hora cero (Oh), no se pone nerviosa
La señorita show va quemando loza
[Coro]
¡Sube, sube!, pa' que rompa' el compás
Boom! Róbate el show, ma'
¡Sube, sube!, pa' que rompa' el compás
Métele torbellino, mami, métele torbellino
¡Sube! (Oah), pa' que rompa' el compás
Boom! Róbate el show, ma'
¡Sube, sube!, pa' que rompa' el compás (Oh; wuh-uh)
[Verso 2]
¿Tú no ves que ahí tú tiene' to' lo que es mío?
Yo aquí tengo to' lo que es tuyo
No le pares al desafío, siga-siga haciendo lo suyo
Te metiste en tremendo lío, porque soy de los que no huyo (Daddy)
Terminaremos derretío', ya verás como yo te puyo, puyo
Monta el pánico cuando mueve la cintura, -tura (Oh)
Es algo automático que le dé mi calentura, -tura (Eh)
Soy su fanático (¿Cómo?), sí, la señorita show está bien dura (Stop, stop)
[Puente]
Mami, tú tienes el control (Eh)
Bailando con ese tumba'o (Oh)
Seguimos en el vacilón (Eh)
Yo sé que tú eres underground (Oh)
Mami, tú tienes el control (Eh)
Bailando con ese tumba'o (Eh)
Seguimos en el vacilón (Eh)
Yo sé que tú eres underground (Oh)
[Coro]
¡Sube, sube!, pa' que rompa' el compás
Boom! Róbate el show, ma'
¡Sube, sube!, pa' que rompa' el compás
Métele torbellino (Yeah), mami, métele torbellino
¡Sube! (Woh), pa' que rompa' el compás
Boom! Róbate el show, ma'
¡Sube, sube!, pa' que rompa' el compás (Wuh-uh; auh)
[Refrán]
Sacaste lo mejor de la ropita, ja
Te gusta cuando to' el mundo te mira, ja
El bajo de la música te excita, ja
Por ahí viene, por ahí viene, viene
[Outro]
¡Sube, sube!
Pa' que rompa el compás
Pa' que rompa el compás
Pa' que rompa el compás
Pa' que rompa el compás",NP
"[Intro]
¡Jah!
Vamo' pa’ encima chorro 'e cabrone', jaja
Siempre voy a mí, sin bajarle
Esto e’ (¡Full!)
[Coro]
Uno quita'o y otro puesto (¡Fuego!)
Uno quita'o y otro puesto (¿Qué?)
Uno quita'o y otro puesto (¿Qué?)
Sin tener sueño, los acuesto (¡Boss!)
[Verso 1]
Sonando de los tiempo' 'e Pablo cuando nada de esto existía
Ya estaba en el underground poniendo to'a esta mierda al día
Se fue Pablo, subió El Chapo, él también cayó por par de sapo'
En resumidas cuentas, solo queda vivo un capo, El Big Boss (Yeah)
El dueño ’el laboratorio (¡Daddy!)
Yo fui el que creó la formula, ustede’ solo han puesto un par de accesorio'
Legendario el reportorio, yo puedo entender tu odio
Es que, cabrón, yo no le bajo desde 2Pac y Notorio’ (¡No!)
Desde el noventa y pico dando crema
Soy Jordan, le' hago un three-peat, me retiro, vuelvo gano tre' má' (Six rings)
El que me mencione no creo que duerma (Wuh)
To’ los que me han tira'o 'tán muerto', gordo, dime quién má' (Yeah, yeah, yeah, yeah)
La gente dice: ""Yankee, no te vaya', tú ere' un crack""
Imagínate estos tiempo' y yo aquí haciendo un comeback
Por mí to's pueden unirse y siguen siendo un throwback, back to back
Esto e' otro palo má' sin bajarle
[Coro]
Uno quita'o y otro puesto (¡Fuego!)
Uno quita'o y otro puesto (¿Qué?)
Uno quita'o y otro puesto (¡Soy papá de to's!)
Sin tener sueño, los acuesto (¡Fuego!)
Uno quita'o y otro puesto (¡El jefe!)
Uno quita'o y otro puesto (¿Qué?)
Uno quita'o y otro puesto (¡Sin miedo!)
Sin tener sueño, los acuesto (¡Fire!)
[Verso 2]
Hablando claro, la fama ya me llamó pa'l salón
Pero no paro, me siento pisando un nuevo escalón
Soy un soldado que sigue poniéndole el corazón
Cuando me paro, disparo sin importar quiene' son
Soy el R, soy el AK, soy la' bala' en la butaca
Soy el piquete que tiene el mago cuando la saca
Cuida'o donde te trepa', mi hermano, uste' e' un prepa
¿Cómo le va' a roncar al que ha corrío' en to'a la' cepa'?
[Puente]
No pueden, conmigo no pueden
Antes de frontearme, lléguenle a mi level
Qué mucha mierda habla esta gente
Despué' me lo maman de frente
Y es que no pueden, conmigo no pueden
Antes de frontearme, lléguenle a mi level
Qué mucha mierda habla esta gente
Despué' me lo maman de frente, yeah (¡Fuimo'!)
[Coro]
Uno quita'o (¡Quita'o!) y otro puesto (¡Puesto!)
Uno quita'o y otro puesto (¡Siempre ready!)
Uno quita'o y otro puesto (¡Fire!)
Sin tener sueño, los acuesto (¡Big Boss!)
Uno quita'o y otro puesto (¡Suénalo, no le bajamo'!)
Uno quita'o y otro puesto (¡'Tamo ready lo que sea!)
Uno quita'o y otro puesto (¡Vamo' pa' encima!)
Sin tener sueño, los acuesto (¡Siempre ready!)
[Outro]
¡Agh!
Oye, esta carrera siempre ha sido sin bajarle
Año tras año con el peine lleno
Uno quita'o y uno puesto
Ustede' saben quién e' el asesino musical
Solamente había que recordárselo, jajaja
Papa' y ketchup, papa' y ketchup
Pa' to' estos mente 'e pollo', jajaja
El Jefe
The Big Boss
Los espero en el Salón de la Fama",NP
"I want a heart for me, for me
That changes my world
And can finally live in peace
I want to live in this town, in this town
With my girl, with my girl
To find the way really low
[Chorus]
I've been looking to, to stop, to stop
Crying in the night, in the morning, in the day
All the time
In the morning, in the day
All the time
I think I've found the place
Where we can live forever
Where I can feel much better
Where my heart can find the way
To feel that good times having our end
[Instrumental Break]
[Chorus]
I've been looking to, to stop, to stop
Crying in the night, in the morning, in the day
All the time
In the morning, in the day
All the time
I think I've found the place
Where we can live forever
Where I can feel much better
Where my heart can find the way
To feel that good times having our end
To feel that good times having our end",NP
"[Intro: Babo]
Volvió el Don Vergas
Bien relaja'o, enjaraba'o, enjaraba'o
Mora'o, mora'o, mora'o, mora'o, mora'o
[Verso 1: Babo & Millonario]
Pasé los cuarenta y me siguen buscando morritas de veinte (Ah)
He pensado retirarme, también quedarme pa' siempre
Aquí lo que manda es la gente, no un par de pendejos ojetes (Ey)
Que porque pegaron con una, pendejes, piensan que son jefes
Mequetrefes, pa' ser jefes necesitan de lo que carecen
Eso que es lo que tengo de sobra, mejor es que no me la engruesen
Por eso me pelan la ñonga, cuando le fumo a la bonga
Perro, vuelo como Jordan, tratan pero no lo logran (Ah)
Eso lo saben de sobra, bien sabido desde siempre
Que tengo mujeres bonitas, modelos, actrices y algunas influencers
Piensan que me vencen, sueñan que me apañan (Prra, prra)
Mi metralla me acompaña a donde vaya (Prra, prra, prra, prra)
[Estribillo: Babo & Millonario]
Vaya-vaya (Vaya-vaya), oye-oye (Oye-oye)
Un dedote al que me tire y un pulgar al que me apoye
Vaya-vaya (Vaya-vaya), oye-oye (Oye-oye)
Un dedote al que me tire y un pulgar al que me apoye
Vaya-vaya (Vaya-vaya), oye-oye (Oye-oye)
Un dedote al que me tire y un pulgar al que me apoye
[Verso 2: Babo & Millonario]
Chotto matte kudasai, 'tamos relax, 'tamos high
No me diga dónde hay si yo soy el que la trae
Empínese ahí, deme mi like, si no le cae, dele por ahí (Prra, prra)
Caray, mejor hikuri que ice, mejor bufo como el Mike
Ayahuascas en la Huasca pa' ponerme espiritual
Te presumes criminal, pero sigues en pañal
Traes madera de Pinocho literal, no eres real
Don Yepeto es tu papá, doña puta tu mamá
Muy mamones con sus clones, no traen nada original
Soy un pinche terrorista como los de Afganistán
Yo también le jalo al AK como los de Michoacán
Bam (Ah, ah), bam (Ah, ah), bam (Ah, ah), bam (Ah, ah)
Bam (Ah, ah), bam (Ah, ah), bam (Ah, ah)
[Estribillo: Babo & Millonario]
Vaya-vaya (Vaya-vaya), oye-oye (Oye-oye)
Un dedote al que me tire y un pulgar al que me apoye
Vaya-vaya (Vaya-vaya), oye-oye (Oye-oye)
Un dedote al que me tire y un pulgar al que me apoye
Vaya-vaya (Vaya-vaya), oye-oye (Oye-oye)
Un dedote al que me tire y un pulgar al que me apoye
[Outro: Babo & Millonario]
Ajajajajaja
Si rafagueé 3 mil payasos nomás pa' andar jugando, homb'e
Puro pinche Cartel de Santa a la verga
Ya te la you know, mucho flow, mucho flow, mucho flow
Tú síguele demostrando que sin otros no eres nadie
Mientras que yo sin nadie dejo claro que soy quien soy (Ah)
El viejón anda con Tokyo (Ah), Hiroshima y Nagasaki (Ah)
Watcha",P
